temp,humidity,pressure,slot,partofday,target
80.2,70.8,29.8,1.00,1,1
77.9,86.6,29.8,1.00,1,7
81.5,80.2,29.8,1.00,1,3
80.6,81,29.8,1.00,1,0
82.2,72.7,29.8,1.00,1,0
80.3,77.7,29.7,1.00,1,2
80.9,76.2,29.7,1.00,1,9
80.5,66.4,29.8,1.00,1,0
79.4,65,29.8,1.00,1,1
78.2,69.4,29.8,1.00,1,3
79.3,62.6,29.8,1.00,1,7
77.8,74.8,29.8,1.00,1,8
80.1,75.8,29.8,1.00,1,2
81.3,75.2,29.7,1.00,1,1
81.5,69.6,29.7,1.00,1,7
77.5,67.3,29.7,1.00,1,6
76.9,70.3,29.7,1.00,1,2
79.7,79.3,29.7,1.00,1,2
78.4,88.1,29.7,1.00,1,6
78.3,80.3,29.7,1.00,1,3
82,78.6,29.7,1.00,1,6
80.6,85,29.7,1.00,1,5
82.8,79.1,29.8,1.00,1,3
82.5,79.6,29.8,1.00,1,7
77.5,77.9,28.6,1.00,1,4
80,85.4,29.8,1.00,1,4
79.6,81.5,29.8,1.00,1,0
79.7,63.1,29.8,1.00,1,8
78.9,62.6,29.9,1.00,1,0
74.2,64.2,29.9,1.00,1,7
78.8,70.3,29.9,1.00,1,4
80,69.5,29.8,1.00,1,3
81.1,68.3,29.8,1.00,1,6
81.3,66,29.8,1.00,1,3
82.1,68.1,29.8,1.00,1,7
78.5,68.6,29.8,1.00,1,9
82.4,72.4,29.8,1.00,1,7
82.2,66.9,29.8,1.00,1,4
75.7,77.2,29.8,1.00,1,9
79.9,79.3,29.7,1.00,1,2
80.3,83.2,29.7,1.00,1,1
81.9,79,29.7,1.00,1,4
78.7,82.4,29.8,1.00,1,8
80.5,79.2,29.8,1.00,1,8
80.7,77,29.8,1.00,1,2
81.4,68.5,29.8,1.00,1,8
80.8,69,29.8,1.00,1,8
80.7,66,29.9,1.00,1,0
75,57.8,29.9,1.00,1,5
77.3,57.8,29.9,1.00,1,2
77.2,69,29.8,1.00,1,3
77.1,84.6,29.8,1.00,1,3
81.8,79.6,29.7,1.00,1,4
83.1,78,29.7,1.00,1,1
84.5,67.2,29.7,1.00,1,4
83.7,67.8,29.7,1.00,1,9
83.8,74.8,29.7,1.00,1,9
84.4,70.5,29.8,1.00,1,6
84.8,70,29.8,1.00,1,2
83.5,73.7,29.8,1.00,1,2
83.8,71,29.8,1.00,1,8
83.8,68.2,29.9,1.00,1,3
84.1,66.4,29.9,1.00,1,2
84.3,63.7,29.9,1.00,1,8
83.5,63.3,29.8,1.00,1,0
82.6,66.2,29.9,1.00,1,3
82.5,67.3,29.9,1.00,1,1
83.5,60.3,29.9,1.00,1,8
83.4,60.1,29.9,1.00,1,9
78.2,68.6,29.8,1.00,1,0
80.3,77.6,29.8,1.00,1,6
81.5,73.2,29.7,1.00,1,4
81.7,79.9,29.7,1.00,1,3
83.4,79,29.7,1.00,1,2
85.5,73.4,29.7,1.00,1,3
83.4,67.8,29.7,1.00,1,6
85.6,70.4,29.7,1.00,1,6
82.4,66.2,29.7,1.00,1,0
85.8,67.9,29.7,1.00,1,4
85.5,68.2,29.8,1.00,1,6
84.7,61.8,29.8,1.00,1,3
84,69,29.8,1.00,1,4
85.1,65.8,29.8,1.00,1,9
85.4,64.6,29.8,1.00,1,2
85.6,66.8,29.7,1.00,1,3
86.1,65.9,29.7,1.00,1,3
86.8,65.3,29.7,1.00,1,9
86.7,62.5,29.6,1.00,1,7
86.3,66.5,29.6,1.00,1,9
85.3,66.6,29.8,1.00,1,7
85.3,65.8,29.8,1.00,1,3
83.7,67.1,29.8,1.00,1,4
84.8,62.6,29.7,1.00,1,6
84.3,65.3,30.9,1.00,1,4
85.2,61.1,29.8,1.00,1,7
84.9,60.8,29.8,1.00,1,0
84.4,63.4,29.8,1.00,1,9
84.7,71.2,29.8,1.00,1,2
86.1,69,29.7,1.00,1,7
84.5,72.5,29.7,1.00,1,3
86.3,65.8,29.7,1.00,1,2
84.9,66.8,29.7,1.00,1,1
85.1,68.6,29.7,1.00,1,7
85.4,65,29.6,1.00,1,4
84,73.4,29.6,1.00,1,3
85.3,74.9,29.6,1.00,1,0
85.5,75.7,29.6,1.00,1,6
85.4,71.3,29.6,1.00,1,5
84.2,71.4,29.7,1.00,1,3
84.8,70.8,29.7,1.00,1,2
83.1,71.1,29.8,1.00,1,2
83.4,68.4,29.8,1.00,1,8
84.3,66.8,29.8,1.00,1,8
85,69,29.8,1.00,1,2
86.5,73.6,29.8,1.00,1,3
87.5,63.5,29.8,1.00,1,7
86.8,63.6,29.8,1.00,1,4
83.6,59.2,29.8,1.00,1,2
87.5,65.3,29.8,1.00,1,4
88.3,64.2,29.8,1.00,1,7
88.6,60.4,29.8,1.00,1,1
87.5,66,29.8,1.00,1,7
88,66.8,29.7,1.00,1,3
88.6,65.9,29.7,1.00,1,0
88.3,67.3,29.7,1.00,1,8
88.2,69,29.7,1.00,1,3
89,64.8,29.7,1.00,1,2
88.2,65.1,29.7,1.00,1,7
88.3,61,29.7,1.00,1,2
89.1,65.4,29.7,1.00,1,9
88.7,65.1,29.7,1.00,1,2
89.4,62.5,29.7,1.00,1,3
87.8,69.1,29.7,1.00,1,7
88.3,64.9,29.7,1.00,1,1
