date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
2/22/2015,47-05-17-16-57-58,47,5,17,16,57,58,5,16,17,47,57,58
2/27/2015,06-23-34-21-46-37,6,23,34,21,46,37,6,21,23,34,37,46
2/8/2015,57-05-53-42-18-55,57,5,53,42,18,55,5,18,42,53,55,57
2/13/2015,43-24-36-16-39-22,43,24,36,16,39,22,16,22,24,36,39,43
2/15/2015,32-53-05-18-34-29,32,53,5,18,34,29,5,18,29,32,34,53
2/20/2015,13-14-7-41-48-39,13,14,7,41,48,39,7,13,14,39,41,48
3/1/2015,06-42-13-40-11-39,6,42,13,40,11,39,6,11,13,39,40,42
3/6/2015,39-54-50-21-32-20,39,54,50,21,32,20,20,21,32,39,50,54
3/8/2015,17-26-38-43-01-02,17,26,38,43,1,2,1,2,17,26,38,43
3/15/2015,05-10-41-14-09-06,5,10,41,14,9,6,5,6,9,10,14,41
3/20/2015,12-29-43-06-10-58,12,29,43,6,10,58,6,10,12,29,43,58
3/22/2015,15-35-57-32-38-25,15,35,57,32,38,25,15,25,32,35,38,57
3/27/2015,29-46-16-55-38-44,29,46,16,55,38,44,16,29,38,44,46,55
3/29/2015,13-01-16-55-32-27,13,1,16,55,32,27,1,13,16,27,32,55
4/10/2015,46-41-36-12-05-11,46,41,36,12,5,11,5,11,12,36,41,46
4/12/2015,11-38-19-10-07-17,11,38,19,10,7,17,7,10,11,17,19,38
3/13/2015,55-51-26-40-18-43,55,51,26,40,18,43,18,26,40,43,51,55
4/17/2015,27-26-3-41-39-45,27,26,3,41,39,45,3,26,27,39,41,45
4/19/2015,31-48-20-58-25-43,31,48,20,58,25,43,20,25,31,43,48,58
4/24/2015,12-13-53-39-01-07,12,13,53,39,1,7,1,7,12,13,39,53
4/26/2015,08-38-40-16-26-04,8,38,40,16,26,4,4,8,16,26,38,40
5/1/2015,50-48-25-34-23-15,50,48,25,34,23,15,15,23,25,34,48,50
5/3/2015,43-30-52-46-17-20,43,30,52,46,17,20,17,20,30,43,46,52
5/8/2015,13-17-48-50-51-39,13,17,48,50,51,39,13,17,39,48,50,51
