LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT,WINNERS,SLOT 1,SLOT 2,SLOT 3,SLOT 4,SLOT 5,SLOT 6,DATE FORMATTED
Ultra Lotto 6/58,47-05-17-16-57-58,1,50000000,1,47,5,17,16,57,58,2015-02-22
Ultra Lotto 6/58,06-23-34-21-46-37,2,50000000,0,6,23,34,21,46,37,2015-02-27
Ultra Lotto 6/58,57-05-53-42-18-55,3,50000000,0,57,5,53,42,18,55,2015-08-02
Ultra Lotto 6/58,43-24-36-16-39-22,4,50000000,0,43,24,36,16,39,22,2015-02-13
Ultra Lotto 6/58,32-53-05-18-34-29,5,50000000,0,32,53,5,18,34,29,2015-02-15
Ultra Lotto 6/58,13-14-7-41-48-39,6,50000000,0,13,14,7,41,48,39,2015-02-20
Ultra Lotto 6/58,06-42-13-40-11-39,7,50000000,0,6,42,13,40,11,39,2015-01-03
Ultra Lotto 6/58,39-54-50-21-32-20,8,50000000,0,39,54,50,21,32,20,2015-06-03
Ultra Lotto 6/58,17-26-38-43-01-02,9,50000000,0,17,26,38,43,1,2,2015-08-03
Ultra Lotto 6/58,05-10-41-14-09-06,10,50000000,0,5,10,41,14,9,6,2015-03-15
Ultra Lotto 6/58,12-29-43-06-10-58,11,50000000,0,12,29,43,6,10,58,2015-03-20
Ultra Lotto 6/58,15-35-57-32-38-25,12,50000000,0,15,35,57,32,38,25,2015-03-22
Ultra Lotto 6/58,29-46-16-55-38-44,13,50000000,0,29,46,16,55,38,44,2015-03-27
Ultra Lotto 6/58,13-01-16-55-32-27,14,50000000,0,13,1,16,55,32,27,2015-03-29
Ultra Lotto 6/58,46-41-36-12-05-11,15,50000000,0,46,41,36,12,5,11,2015-10-04
Ultra Lotto 6/58,11-38-19-10-07-17,16,50000000,0,11,38,19,10,7,17,2015-12-04
Ultra Lotto 6/58,55-51-26-40-18-43,17,50000000,0,55,51,26,40,18,43,2015-03-13
Ultra Lotto 6/58,27-26-3-41-39-45,18,50000000,0,27,26,3,41,39,45,2015-04-17
Ultra Lotto 6/58,31-48-20-58-25-43,19,50000000,0,31,48,20,58,25,43,2015-04-19
Ultra Lotto 6/58,12-13-53-39-01-07,20,50000000,0,12,13,53,39,1,7,2015-04-24
Ultra Lotto 6/58,08-38-40-16-26-04,21,50000000,0,8,38,40,16,26,4,2015-04-26
Ultra Lotto 6/58,50-48-25-34-23-15,22,50000000,0,50,48,25,34,23,15,2015-01-05
Ultra Lotto 6/58,43-30-52-46-17-20,23,50000000,0,43,30,52,46,17,20,2015-03-05
Ultra Lotto 6/58,13-17-48-50-51-39,24,51636696,0,13,17,48,50,51,39,2015-08-05
Ultra Lotto 6/58,47-43-39-23-36-51,25,54100016,0,47,43,39,23,36,51,2015-10-05
Ultra Lotto 6/58,41-15-29-11-39-33,26,57026088,0,41,15,29,11,39,33,2015-05-15
Ultra Lotto 6/58,09-03-14-53-57-01,27,59530164,0,9,3,14,53,57,1,2015-05-17
Ultra Lotto 6/58,34-49-19-02-31-13,28,62473836,0,34,49,19,2,31,13,2015-05-22
Ultra Lotto 6/58,21-11-56-38-18-20,29,64893956,0,21,11,56,38,18,20,2015-05-24
Ultra Lotto 6/58,46-51-18-28-22-54,30,67942176,0,46,51,18,28,22,54,2015-05-29
Ultra Lotto 6/58,37-52-54-45-51-35,31,70446100,0,37,52,54,45,51,35,2015-05-31
Ultra Lotto 6/58,32-31-41-09-10-44,32,73621700,0,32,31,41,9,10,44,2015-05-06
Ultra Lotto 6/58,13-23-57-44-25-07,33,76181444,0,13,23,57,44,25,7,2015-07-06
Ultra Lotto 6/58,41-25-14-29-56-07,34,79229176,0,41,25,14,29,56,7,2015-12-06
Ultra Lotto 6/58,45-11-04-31-32-29,35,81809668,0,45,11,4,31,32,29,2015-06-14
Ultra Lotto 6/58,41-33-20-57-07-01,36,85169492,0,41,33,20,57,7,1,2015-06-19
Ultra Lotto 6/58,04-10-21-47-19-27,37,87814112,0,4,10,21,47,19,27,2015-06-21
Ultra Lotto 6/58,58-26-18-39-06-38,38,91298392,0,58,26,18,39,6,38,2015-06-26
Ultra Lotto 6/58,23-10-50-43-32-03,39,94529588,0,23,10,50,43,32,3,2015-06-28
Ultra Lotto 6/58,05-25-04-24-56-40,40,98687396,0,5,25,4,24,56,40,2015-03-07
Ultra Lotto 6/58,43-35-56-03-53-48,41,101990608,0,43,35,56,3,53,48,2015-05-07
Ultra Lotto 6/58,34-05-01-28-18-46,42,106143884,0,34,5,1,28,18,46,2015-10-07
Ultra Lotto 6/58,08-12-44-02-18-27,43,109951260,0,8,12,44,2,18,27,2015-12-07
Ultra Lotto 6/58,28-20-14-15-58-51,44,114137864,0,28,20,14,15,58,51,2015-07-17
Ultra Lotto 6/58,12-41-23-09-38-25,45,117967076,0,12,41,23,9,38,25,2015-07-19
Ultra Lotto 6/58,38-33-13-35-49-29,46,122434392,0,38,33,13,35,49,29,2015-07-24
Ultra Lotto 6/58,22-13-38-53-48-25,47,126292608,0,22,13,38,53,48,25,2015-07-26
Ultra Lotto 6/58,55-52-01-33-31-47,48,131059732,0,55,52,1,33,31,47,2015-07-31
Ultra Lotto 6/58,48-40-24-27-11-29,49,135132208,0,48,40,24,27,11,29,2015-02-08
Ultra Lotto 6/58,48-31-22-45-02-30,50,139959356,0,48,31,22,45,2,30,2015-07-08
Ultra Lotto 6/58,54-39-42-20-29-40,51,143934736,0,54,39,42,20,29,40,2015-09-08
Ultra Lotto 6/58,56-18-24-13-37-22,52,148839812,0,56,18,24,13,37,22,2015-08-14
Ultra Lotto 6/58,53-29-19-51-26-33,53,153038516,0,53,29,19,51,26,33,2015-08-16
Ultra Lotto 6/58,07-19-12-54-40-46,54,157660836,0,7,19,12,54,40,46,2015-08-21
Ultra Lotto 6/58,38-40-50-17-37-22,55,161728512,0,38,40,50,17,37,22,2015-08-23
Ultra Lotto 6/58,58-02-54-22-11-25,56,166789276,0,58,2,54,22,11,25,2015-08-28
Ultra Lotto 6/58,21-06-57-56-30-33,57,170933956,0,21,6,57,56,30,33,2015-08-30
Ultra Lotto 6/58,45-25-08-13-07-47,58,176515840,0,45,25,8,13,7,47,2015-04-09
Ultra Lotto 6/58,09-55-07-33-19-28,59,181433656,0,9,55,7,33,19,28,2015-06-09
Ultra Lotto 6/58,17-34-56-42-36-40,60,192527088,0,17,34,56,42,36,40,2015-09-13
Ultra Lotto 6/58,45-13-49-53-16-40,61,187353392,0,45,13,49,53,16,40,2015-11-09
Ultra Lotto 6/58,39-56-49-35-34-15,62,198885092,0,39,56,49,35,34,15,2015-09-18
Ultra Lotto 6/58,11-43-04-09-13-30,63,204398484,0,11,43,4,9,13,30,2015-09-20
Ultra Lotto 6/58,25-14-35-13-02-53,64,211057824,0,25,14,35,13,2,53,2015-09-25
Ultra Lotto 6/58,06-34-18-49-54-04,65,216967656,0,6,34,18,49,54,4,2015-09-27
Ultra Lotto 6/58,40-48-27-09-36-39,66,223913368,0,40,48,27,9,36,39,2015-02-10
Ultra Lotto 6/58,10-24-38-12-50-08,67,229955648,0,10,24,38,12,50,8,2015-04-10
Ultra Lotto 6/58,55-08-39-32-14-45,68,236892056,0,55,8,39,32,14,45,2015-09-10
Ultra Lotto 6/58,38-10-42-13-25-46,69,243152252,0,38,10,42,13,25,46,2015-11-10
