LOTTO GAME,COMBINATIONS,SEQUENCE,JACKPOT,WINNERS,SLOT 1,SLOT 2,SLOT 3,SLOT 4,SLOT 5,SLOT 6,DATE FORMATTED
Ultra Lotto 6/58,47-05-17-16-57-58,1,50000000,1,5,16,17,47,57,58,2015-02-22
Ultra Lotto 6/58,06-23-34-21-46-37,2,50000000,0,6,21,23,34,37,46,2015-02-27
Ultra Lotto 6/58,57-05-53-42-18-55,3,50000000,0,5,18,42,53,55,57,2015-08-02
Ultra Lotto 6/58,43-24-36-16-39-22,4,50000000,0,16,22,24,36,39,43,2015-02-13
Ultra Lotto 6/58,32-53-05-18-34-29,5,50000000,0,5,18,29,32,34,53,2015-02-15
Ultra Lotto 6/58,13-14-7-41-48-39,6,50000000,0,7,13,14,39,41,48,2015-02-20
Ultra Lotto 6/58,06-42-13-40-11-39,7,50000000,0,6,11,13,39,40,42,2015-01-03
Ultra Lotto 6/58,39-54-50-21-32-20,8,50000000,0,20,21,32,39,50,54,2015-06-03
Ultra Lotto 6/58,17-26-38-43-01-02,9,50000000,0,1,2,17,26,38,43,2015-08-03
Ultra Lotto 6/58,05-10-41-14-09-06,10,50000000,0,5,6,9,10,14,41,2015-03-15
Ultra Lotto 6/58,12-29-43-06-10-58,11,50000000,0,6,10,12,29,43,58,2015-03-20
Ultra Lotto 6/58,15-35-57-32-38-25,12,50000000,0,15,25,32,35,38,57,2015-03-22
Ultra Lotto 6/58,29-46-16-55-38-44,13,50000000,0,16,29,38,44,46,55,2015-03-27
Ultra Lotto 6/58,13-01-16-55-32-27,14,50000000,0,1,13,16,27,32,55,2015-03-29
Ultra Lotto 6/58,46-41-36-12-05-11,15,50000000,0,5,11,12,36,41,46,2015-10-04
Ultra Lotto 6/58,11-38-19-10-07-17,16,50000000,0,7,10,11,17,19,38,2015-12-04
Ultra Lotto 6/58,55-51-26-40-18-43,17,50000000,0,18,26,40,43,51,55,2015-03-13
Ultra Lotto 6/58,27-26-3-41-39-45,18,50000000,0,3,26,27,39,41,45,2015-04-17
Ultra Lotto 6/58,31-48-20-58-25-43,19,50000000,0,20,25,31,43,48,58,2015-04-19
Ultra Lotto 6/58,12-13-53-39-01-07,20,50000000,0,1,7,12,13,39,53,2015-04-24
Ultra Lotto 6/58,08-38-40-16-26-04,21,50000000,0,4,8,16,26,38,40,2015-04-26
Ultra Lotto 6/58,50-48-25-34-23-15,22,50000000,0,15,23,25,34,48,50,2015-01-05
Ultra Lotto 6/58,43-30-52-46-17-20,23,50000000,0,17,20,30,43,46,52,2015-03-05
Ultra Lotto 6/58,13-17-48-50-51-39,24,51636696,0,13,17,39,48,50,51,2015-08-05
Ultra Lotto 6/58,47-43-39-23-36-51,25,54100016,0,23,36,39,43,47,51,2015-10-05
Ultra Lotto 6/58,41-15-29-11-39-33,26,57026088,0,11,15,29,33,39,41,2015-05-15
Ultra Lotto 6/58,09-03-14-53-57-01,27,59530164,0,1,3,9,14,53,57,2015-05-17
Ultra Lotto 6/58,34-49-19-02-31-13,28,62473836,0,2,13,19,31,34,49,2015-05-22
Ultra Lotto 6/58,21-11-56-38-18-20,29,64893956,0,11,18,20,21,38,56,2015-05-24
Ultra Lotto 6/58,46-51-18-28-22-54,30,67942176,0,18,22,28,46,51,54,2015-05-29
Ultra Lotto 6/58,37-52-54-45-51-35,31,70446100,0,35,37,45,51,52,54,2015-05-31
Ultra Lotto 6/58,32-31-41-09-10-44,32,73621700,0,9,10,31,32,41,44,2015-05-06
Ultra Lotto 6/58,13-23-57-44-25-07,33,76181444,0,7,13,23,25,44,57,2015-07-06
Ultra Lotto 6/58,41-25-14-29-56-07,34,79229176,0,7,14,25,29,41,56,2015-12-06
Ultra Lotto 6/58,45-11-04-31-32-29,35,81809668,0,4,11,29,31,32,45,2015-06-14
Ultra Lotto 6/58,41-33-20-57-07-01,36,85169492,0,1,7,20,33,41,57,2015-06-19
Ultra Lotto 6/58,04-10-21-47-19-27,37,87814112,0,4,10,19,21,27,47,2015-06-21
Ultra Lotto 6/58,58-26-18-39-06-38,38,91298392,0,6,18,26,38,39,58,2015-06-26
Ultra Lotto 6/58,23-10-50-43-32-03,39,94529588,0,3,10,23,32,43,50,2015-06-28
Ultra Lotto 6/58,05-25-04-24-56-40,40,98687396,0,4,5,24,25,40,56,2015-03-07
Ultra Lotto 6/58,43-35-56-03-53-48,41,101990608,0,3,35,43,48,53,56,2015-05-07
Ultra Lotto 6/58,34-05-01-28-18-46,42,106143884,0,1,5,18,28,34,46,2015-10-07
Ultra Lotto 6/58,08-12-44-02-18-27,43,109951260,0,2,8,12,18,27,44,2015-12-07
Ultra Lotto 6/58,28-20-14-15-58-51,44,114137864,0,14,15,20,28,51,58,2015-07-17
Ultra Lotto 6/58,12-41-23-09-38-25,45,117967076,0,9,12,23,25,38,41,2015-07-19
Ultra Lotto 6/58,38-33-13-35-49-29,46,122434392,0,13,29,33,35,38,49,2015-07-24
Ultra Lotto 6/58,22-13-38-53-48-25,47,126292608,0,13,22,25,38,48,53,2015-07-26
Ultra Lotto 6/58,55-52-01-33-31-47,48,131059732,0,1,31,33,47,52,55,2015-07-31
Ultra Lotto 6/58,48-40-24-27-11-29,49,135132208,0,11,24,27,29,40,48,2015-02-08
Ultra Lotto 6/58,48-31-22-45-02-30,50,139959356,0,2,22,30,31,45,48,2015-07-08
Ultra Lotto 6/58,54-39-42-20-29-40,51,143934736,0,20,29,39,40,42,54,2015-09-08
Ultra Lotto 6/58,56-18-24-13-37-22,52,148839812,0,13,18,22,24,37,56,2015-08-14
Ultra Lotto 6/58,53-29-19-51-26-33,53,153038516,0,19,26,29,33,51,53,2015-08-16
Ultra Lotto 6/58,07-19-12-54-40-46,54,157660836,0,7,12,19,40,46,54,2015-08-21
Ultra Lotto 6/58,38-40-50-17-37-22,55,161728512,0,17,22,37,38,40,50,2015-08-23
Ultra Lotto 6/58,58-02-54-22-11-25,56,166789276,0,2,11,22,25,54,58,2015-08-28
Ultra Lotto 6/58,21-06-57-56-30-33,57,170933956,0,6,21,30,33,56,57,2015-08-30
Ultra Lotto 6/58,45-25-08-13-07-47,58,176515840,0,7,8,13,25,45,47,2015-04-09
Ultra Lotto 6/58,09-55-07-33-19-28,59,181433656,0,7,9,19,28,33,55,2015-06-09
Ultra Lotto 6/58,17-34-56-42-36-40,60,192527088,0,17,34,36,40,42,56,2015-09-13
