temp,humidity,pressure,slot,target
26.2,63,1012.8,1,47
27.8,65,1011.1,1,6
25.8,77.1,1012,1,57
26.2,75.5,1010.2,1,43
27.1,77.3,1011.8,1,32
25.7,70.8,1012.8,1,13
27,64.8,1011.7,1,6
27.5,67.4,1011.5,1,39
28.1,58.7,1012.4,1,17
26.8,61.7,1013.4,1,5
27.9,67.7,1010.3,1,12
27.5,83.8,1009.8,1,15
28.7,61.1,1014.1,1,29
28.8,60.9,1011.2,1,13
28.6,61.5,1010.2,1,46
29,61.2,1010.7,1,11
27.2,67,1013.4,1,55
30.5,62.4,1010,1,27
30.8,67.8,1008.6,1,31
29.6,62.8,1010,1,12
28.5,58.8,1009.8,1,8
31.2,60.1,1008.1,1,50
30.5,66.2,1008.3,1,43
30.8,66.8,1006.8,1,13
29.7,76.9,1046.5,1,47
30.3,60.2,1010.1,1,41
31,59.5,1007.3,1,9
30.4,74.8,1008.9,1,34
30.4,78.2,1008.2,1,21
30.5,70,1007.8,1,46
30.1,71.7,1007.6,1,37
29.2,63.4,1006.1,1,32
30.8,69.5,1007.4,1,13
31.3,63.5,1006.7,1,41
31.4,62.6,1006.6,1,45
29.4,81.5,1005.6,1,41
28,87.1,1006.6,1,4
29.9,76.2,1008.1,1,58
29.8,76.6,1009.5,1,23
28,76.1,1002.7,1,5
25.5,99.3,999.9,1,43
26.6,93.8,1002,1,34
28.5,83.9,1004.9,1,8
29.1,76.2,1005.1,1,28
30.1,73,1007,1,12
28.5,82.4,1009.5,1,38
27.6,81.5,1010.8,1,22
29.7,67,1007.3,1,55
29.3,72.1,1007.5,1,48
29.3,78.5,1000.6,1,48
27.6,91.9,1004.5,1,54
29.1,79.4,1008.2,1,56
30.3,75.6,1008.2,1,53
25.9,92.6,964.5,1,7
27,91.1,1004.1,1,38
28.1,86.3,1007.8,1,58
27.9,79.6,1008.2,1,21
28.3,74.8,1010.2,1,45
28.4,88.3,1007.6,1,9
27.5,92.6,1007.9,1,17
27.3,93,1007,1,45
28.3,85.7,1009.3,1,39
28.6,81.1,1006.1,1,11
29,85.6,1003.1,1,25
28.7,89.8,1003.9,1,6
26.2,94,1008.3,1,40
26.9,92.5,1012.6,1,10
28.8,82.3,1008.5,1,55
29.3,76.8,1010,1,38
28.2,75.8,1003.5,1,5
28,94.3,995.9,1,54
27.9,80.7,1008.3,1,16
29.2,75,1010.8,1,49
29.2,68,1011.7,1,22
28.1,77,1011,1,22
29.6,70.4,1009.7,1,11
29.5,69.6,1010.8,1,48
29,68.5,1010.8,1,48
28.5,74.2,1010.1,1,20
28.6,63.7,1009.6,1,33
29,69.3,1008.5,1,15
28.3,68.1,1010.6,1,32
28.6,75.1,1012.8,1,19
28.7,65.2,1012,1,22
28.6,77,1011.1,1,38
27.4,75,1009,1,8
28.6,72.6,1008.7,1,50
26.2,79.8,1010.7,1,53
26.5,88,1011.4,1,16
26.7,75,1014.8,1,13
27.8,76.2,1013.8,1,26
27.5,71.9,1012.5,1,38
27.6,70.3,1012.5,1,23
27.9,70.4,1009.6,1,22
28.2,69.1,1008.7,1,53
27.7,72.1,1012.1,1,37
27.4,70.3,1013.6,1,25
27.3,77.4,1012.4,1,44
28.5,70.5,1011.5,1,15
28,83.4,1008.7,1,35
25.5,79.1,1011.9,1,40
27.6,67.1,1012,1,47
