date,result,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
1/5/2008,3-5-7-21-27-32,3,5,7,21,27,32,3,5,7,21,27,32
1/8/2008,4-6-15-21-25-29,4,6,15,21,25,29,4,6,15,21,25,29
1/12/2008,5-14-15-17-28-34,5,14,15,17,28,34,5,14,15,17,28,34
1/15/2008,14-17-21-22-40-42,14,17,21,22,40,42,14,17,21,22,40,42
1/19/2008,15-16-19-20-31-40,15,16,19,20,31,40,15,16,19,20,31,40
1/22/2008,9-13-15-30-33-39,9,13,15,30,33,39,9,13,15,30,33,39
1/26/2008,1-11-21-22-23-29,1,11,21,22,23,29,1,11,21,22,23,29
1/29/2008,6-8-10-31-41-42,6,8,10,31,41,42,6,8,10,31,41,42
2/2/2008,9-21-23-24-26-40,9,21,23,24,26,40,9,21,23,24,26,40
2/5/2008,2-6-16-27-32-42,2,6,16,27,32,42,2,6,16,27,32,42
2/9/2008,3-5-14-25-36-41,3,5,14,25,36,41,3,5,14,25,36,41
2/12/2008,4-7-16-24-38-42,4,7,16,24,38,42,4,7,16,24,38,42
2/16/2008,3-4-7-8-32-36,3,4,7,8,32,36,3,4,7,8,32,36
2/19/2008,4-10-16-19-24-30,4,10,16,19,24,30,4,10,16,19,24,30
2/23/2008,2-8-21-30-33-34,2,8,21,30,33,34,2,8,21,30,33,34
2/26/2008,7-11-16-19-33-38,7,11,16,19,33,38,7,11,16,19,33,38
3/1/2008,1-7-11-13-24-38,1,7,11,13,24,38,1,7,11,13,24,38
3/4/2008,1-15-18-31-35-38,1,15,18,31,35,38,1,15,18,31,35,38
3/8/2008,6-10-11-24-33-42,6,10,11,24,33,42,6,10,11,24,33,42
3/11/2008,5-17-28-35-39-42,5,17,28,35,39,42,5,17,28,35,39,42
3/15/2008,3-11-13-17-24-31,3,11,13,17,24,31,3,11,13,17,24,31
3/18/2008,6-14-20-22-27-29,6,14,20,22,27,29,6,14,20,22,27,29
3/25/2008,3-7-20-22-35-42,3,7,20,22,35,42,3,7,20,22,35,42
3/29/2008,13-14-20-27-30-34,13,14,20,27,30,34,13,14,20,27,30,34
4/1/2008,1-10-19-21-22-24,1,10,19,21,22,24,1,10,19,21,22,24
4/5/2008,19-21-29-36-37-42,19,21,29,36,37,42,19,21,29,36,37,42
4/8/2008,2-25-30-35-36-42,2,25,30,35,36,42,2,25,30,35,36,42
4/12/2008,12-22-23-26-36-37,12,22,23,26,36,37,12,22,23,26,36,37
4/15/2008,4-6-25-35-38-42,4,6,25,35,38,42,4,6,25,35,38,42
4/19/2008,1-16-28-37-41-42,1,16,28,37,41,42,1,16,28,37,41,42
4/22/2008,9-15-18-23-28-40,9,15,18,23,28,40,9,15,18,23,28,40
4/26/2008,6-9-16-32-34-37,6,9,16,32,34,37,6,9,16,32,34,37
4/29/2008,7-9-18-28-35-39,7,9,18,28,35,39,7,9,18,28,35,39
5/3/2008,1-2-19-23-34-41,1,2,19,23,34,41,1,2,19,23,34,41
5/6/2008,1-6-11-31-35-42,1,6,11,31,35,42,1,6,11,31,35,42
5/10/2008,3-12-17-26-32-42,3,12,17,26,32,42,3,12,17,26,32,42
5/13/2008,22-26-27-31-36-39,22,26,27,31,36,39,22,26,27,31,36,39
