date,result,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
1/2/2018,17-16-19-29-04-14,17,16,19,29,4,14,4,14,16,17,19,29
1/4/2018,26-16-30-19-05-11,26,16,30,19,5,11,5,11,16,19,26,30
1/6/2018,40-28-15-13-11-24,40,28,15,13,11,24,11,13,15,24,28,40
1/9/2018,07-11-27-28-42-34,7,11,27,28,42,34,7,11,27,28,34,42
1/11/2018,01-38-41-24-03-11,1,38,41,24,3,11,1,3,11,24,38,41
1/13/2018,02-25-32-12-08-31,2,25,32,12,8,31,2,8,12,25,31,32
1/16/2018,04-38-12-08-32-07,4,38,12,8,32,7,4,7,8,12,32,38
1/18/2018,01-40-35-37-17-05,1,40,35,37,17,5,1,5,17,35,37,40
1/20/2018,06-25-29-30-38-16,6,25,29,30,38,16,6,16,25,29,30,38
1/23/2018,05-11-31-42-24-33,5,11,31,42,24,33,5,11,24,31,33,42
1/25/2018,24-10-05-02-16-26,24,10,5,2,16,26,2,5,10,16,24,26
1/27/2018,07-12-06-30-04-24,7,12,6,30,4,24,4,6,7,12,24,30
1/30/2018,02-06-11-20-12-35,2,6,11,20,12,35,2,6,11,12,20,35
2/1/2018,13-30-34-06-18-14,13,30,34,6,18,14,6,13,14,18,30,34
2/3/2018,22-14-19-03-21-29,22,14,19,3,21,29,3,14,19,21,22,29
2/6/2018,29-09-01-04-36-21,29,9,1,4,36,21,1,4,9,21,29,36
2/8/2018,07-32-08-30-11-19,7,32,8,30,11,19,7,8,11,19,30,32
2/10/2018,30-23-41-06-08-18,30,23,41,6,8,18,6,8,18,23,30,41
2/13/2018,19-31-21-22-07-35,19,31,21,22,7,35,7,19,21,22,31,35
2/15/2018,24-21-01-39-22-28,24,21,1,39,22,28,1,21,22,24,28,39
2/17/2018,22-40-41-33-19-05,22,40,41,33,19,5,5,19,22,33,40,41
2/20/2018,40-02-35-21-25-34,40,2,35,21,25,34,2,21,25,34,35,40
2/22/2018,18-30-41-27-35-25,18,30,41,27,35,25,18,25,27,30,35,41
2/24/2018,12-25-09-34-17-32,12,25,9,34,17,32,9,12,17,25,32,34
2/27/2018,19-12-36-26-10-28,19,12,36,26,10,28,10,12,19,26,28,36
3/1/2018,14-42-40-07-34-25,14,42,40,7,34,25,7,14,25,34,40,42
3/3/2018,35-24-08-30-19-39,35,24,8,30,19,39,8,19,24,30,35,39
3/6/2018,05-39-37-30-04-23,5,39,37,30,4,23,4,5,23,30,37,39
3/8/2018,38-25-27-14-24-36,38,25,27,14,24,36,14,24,25,27,36,38
3/10/2018,26-41-42-03-39-38,26,41,42,3,39,38,3,26,38,39,41,42
3/13/2018,41-02-36-32-03-28,41,2,36,32,3,28,2,3,28,32,36,41
3/15/2018,27-17-02-37-42-09,27,17,2,37,42,9,2,9,17,27,37,42
3/17/2018,24-23-12-31-08-09,24,23,12,31,8,9,8,9,12,23,24,31
3/20/2018,34-11-30-26-38-05,34,11,30,26,38,5,5,11,26,30,34,38
3/22/2018,42-20-39-06-04-15,42,20,39,6,4,15,4,6,15,20,39,42
3/24/2018,17-08-04-21-32-31,17,8,4,21,32,31,4,8,17,21,31,32
3/27/2018,38-08-01-05-34-22,38,8,1,5,34,22,1,5,8,22,34,38
4/3/2018,27-38-36-29-07-19,27,38,36,29,7,19,7,19,27,29,36,38
4/5/2018,08-40-22-20-31-03,8,40,22,20,31,3,3,8,20,22,31,40
4/7/2018,36-26-30-11-18-16,36,26,30,11,18,16,11,16,18,26,30,36
4/10/2018,31-39-02-25-34-11,31,39,2,25,34,11,2,11,25,31,34,39
4/12/2018,33-09-12-32-29-27,33,9,12,32,29,27,9,12,27,29,32,33
4/14/2018,18-41-29-10-35-03,18,41,29,10,35,3,3,10,18,29,35,41
4/17/2018,06-41-42-04-30-39,6,41,42,4,30,39,4,6,30,39,41,42
4/19/2018,31-29-11-14-23-16,31,29,11,14,23,16,11,14,16,23,29,31
4/21/2018,04-11-33-14-12-39,4,11,33,14,12,39,4,11,12,14,33,39
4/24/2018,03-23-41-12-08-25,3,23,41,12,8,25,3,8,12,23,25,41
4/26/2018,32-04-13-22-23-41,32,4,13,22,23,41,4,13,22,23,32,41
4/28/2018,37-42-03-22-35-02,37,42,3,22,35,2,2,3,22,35,37,42
5/1/2018,31-14-12-17-36-28,31,14,12,17,36,28,12,14,17,28,31,36
5/3/2018,23-22-25-26-12-01,23,22,25,26,12,1,1,12,22,23,25,26
5/5/2018,15-05-39-24-01-12,15,5,39,24,1,12,1,5,12,15,24,39
