date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
4/19/2010,25-05-38-26-53-04,25,5,38,26,53,4,4,5,25,26,38,53
4/21/2010,07-45-50-33-19-34,7,45,50,33,19,34,7,19,33,34,45,50
4/24/2010,55-25-21-30-09-39,55,25,21,30,9,39,9,21,25,30,39,55
4/26/2010,26-11-30-12-13-41,26,11,30,12,13,41,11,12,13,26,30,41
4/28/2010,32-23-44-11-50-39,32,23,44,11,50,39,11,23,32,39,44,50
5/1/2010,45-30-07-44-55-54,45,30,7,44,55,54,7,30,44,45,54,55
5/3/2010,21-10-35-46-48-27,21,10,35,46,48,27,10,21,27,35,46,48
5/5/2010,52-41-05-53-11-50,52,41,5,53,11,50,5,11,41,50,52,53
5/8/2010,40-38-17-43-10-54,40,38,17,43,10,54,10,17,38,40,43,54
5/12/2010,45-27-29-12-39-31,45,27,29,12,39,31,12,27,29,31,39,45
5/15/2010,24-42-38-02-18-09,24,42,38,2,18,9,2,9,18,24,38,42
5/17/2010,13-43-28-06-53-30,13,43,28,6,53,30,6,13,28,30,43,53
5/19/2010,45-47-29-30-53-13,45,47,29,30,53,13,13,29,30,45,47,53
5/22/2010,38-45-28-48-47-36,38,45,28,48,47,36,28,36,38,45,47,48
5/24/2010,25-34-18-06-07-55,25,34,18,6,7,55,6,7,18,25,34,55
5/26/2010,47-19-31-41-08-05,47,19,31,41,8,5,5,8,19,31,41,47
5/31/2010,43-31-39-17-07-27,43,31,39,17,7,27,7,17,27,31,39,43
6/2/2010,03-31-07-23-36-38,3,31,7,23,36,38,3,7,23,31,36,38
5/29/2010,09-35-53-34-15-11,9,35,53,34,15,11,9,11,15,34,35,53
6/5/2010,42-16-09-54-29-22,42,16,9,54,29,22,9,16,22,29,42,54
6/7/2010,26-07-04-24-08-53,26,7,4,24,8,53,4,7,8,24,26,53
6/9/2010,28-39-52-24-50-23,28,39,52,24,50,23,23,24,28,39,50,52
6/12/2010,46-06-12-55-44-32,46,6,12,55,44,32,6,12,32,44,46,55
6/14/2010,46-32-18-20-48-16,46,32,18,20,48,16,16,18,20,32,46,48
6/16/2010,15-30-31-12-38-34,15,30,31,12,38,34,12,15,30,31,34,38
6/19/2010,48-01-02-19-27-38,48,1,2,19,27,38,1,2,19,27,38,48
6/21/2010,24-13-07-48-41-51,24,13,7,48,41,51,7,13,24,41,48,51
6/23/2010,28-51-02-40-26-13,28,51,2,40,26,13,2,13,26,28,40,51
6/26/2010,43-48-37-07-39-23,43,48,37,7,39,23,7,23,37,39,43,48
6/28/2010,24-34-17-05-30-39,24,34,17,5,30,39,5,17,24,30,34,39
6/30/2010,40-11-08-35-19-04,40,11,8,35,19,4,4,8,11,19,35,40
7/3/2010,43-21-12-24-40-07,43,21,12,24,40,7,7,12,21,24,40,43
7/5/2010,18-06-54-40-05-42,18,6,54,40,5,42,5,6,18,40,42,54
7/7/2010,09-01-54-36-30-08,9,1,54,36,30,8,1,8,9,30,36,54
7/10/2010,27-07-40-34-20-14,27,7,40,34,20,14,7,14,20,27,34,40
7/12/2010,50-21-35-03-39-05,50,21,35,3,39,5,3,5,21,35,39,50
7/17/2010,26-19-02-13-42-39,26,19,2,13,42,39,2,13,19,26,39,42
7/19/2010,41-37-48-06-50-42,41,37,48,6,50,42,6,37,41,42,48,50
7/21/2010,35-26-45-39-31-41,35,26,45,39,31,41,26,31,35,39,41,45
7/14/2010,07-16-22-21-06-54,7,16,22,21,6,54,6,7,16,21,22,54
7/24/2010,19-10-44-45-22-39,19,10,44,45,22,39,10,19,22,39,44,45
7/26/2010,42-28-08-48-04-46,42,28,8,48,4,46,4,8,28,42,46,48
7/28/2010,25-14-10-52-13-20,25,14,10,52,13,20,10,13,14,20,25,52
7/31/2010,24-44-52-09-28-42,24,44,52,9,28,42,9,24,28,42,44,52
8/2/2010,44-53-42-45-11-35,44,53,42,45,11,35,11,35,42,44,45,53
8/4/2010,42-12-43-49-23-36,42,12,43,49,23,36,12,23,36,42,43,49
8/7/2010,40-52-05-06-36-03,40,52,5,6,36,3,3,5,6,36,40,52
8/9/2010,45-42-23-33-48-02,45,42,23,33,48,2,2,23,33,42,45,48
8/11/2010,05-45-43-49-03-08,5,45,43,49,3,8,3,5,8,43,45,49
8/14/2010,54-37-29-18-53-13,54,37,29,18,53,13,13,18,29,37,53,54
8/16/2010,40-25-54-37-44-05,40,25,54,37,44,5,5,25,37,40,44,54
8/18/2010,15-17-54-10-26-39,15,17,54,10,26,39,10,15,17,26,39,54
8/21/2010,35-16-33-51-20-50,35,16,33,51,20,50,16,20,33,35,50,51
8/23/2010,03-38-04-28-07-15,3,38,4,28,7,15,3,4,7,15,28,38
8/25/2010,55-36-52-45-24-12,55,36,52,45,24,12,12,24,36,45,52,55
8/28/2010,01-18-37-47-43-50,1,18,37,47,43,50,1,18,37,43,47,50
8/30/2010,49-11-26-27-09-12,49,11,26,27,9,12,9,11,12,26,27,49
9/1/2010,15-26-25-17-54-53,15,26,25,17,54,53,15,17,25,26,53,54
