date,results,slot 1,slot 2,slot 3
4/2/2018,2-3-2,2,3,2
4/3/2018,3-2-5,3,2,5
4/4/2018,0-0-6,0,0,6
4/5/2018,3-0-7,3,0,7
4/6/2018,1-9-7,1,9,7
4/7/2018,6-7-4,6,7,4
4/8/2018,5-7-1,5,7,1
4/9/2018,8-8-6,8,8,6
4/10/2018,8-8-4,8,8,4
4/11/2018,8-5-0,8,5,0
4/12/2018,2-9-9,2,9,9
4/13/2018,6-3-0,6,3,0
4/14/2018,1-1-6,1,1,6
4/15/2018,3-0-1,3,0,1
4/16/2018,8-3-6,8,3,6
4/17/2018,3-2-0,3,2,0
4/18/2018,7-4-8,7,4,8
4/19/2018,8-7-9,8,7,9
4/20/2018,4-0-0,4,0,0
4/21/2018,8-6-7,8,6,7
4/22/2018,4-6-5,4,6,5
4/23/2018,2-4-0,2,4,0
4/24/2018,8-9-2,8,9,2
4/25/2018,1-2-3,1,2,3
4/26/2018,9-8-1,9,8,1
4/27/2018,9-4-0,9,4,0
4/28/2018,2-3-3,2,3,3
4/29/2018,3-5-7,3,5,7
4/30/2018,6-3-8,6,3,8
5/1/2018,5-0-9,5,0,9
5/2/2018,5-4-0,5,4,0
5/3/2018,3-9-8,3,9,8
5/4/2018,9-8-5,9,8,5
